"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6164266588296763";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.7329562084881236";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.6606837606837608";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8824434499873102";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.9824561403508771";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.9824561403508771";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6164266588296763";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.7329562084881236";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.6606837606837608";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8824434499873102";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.9824561403508771";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.9824561403508771";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6164266588296763";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.7329562084881236";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.6606837606837608";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8824434499873102";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.18178571428571424";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.21388888888888893";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
