"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6685049833887042";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.731937984496124";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.7148669796557121";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8738886827458254";"1.0";"Full";"20.0";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"1.0";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"1.0";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6685049833887042";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.731937984496124";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.7148669796557121";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8738886827458254";"1.0";"Full";"20.0";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"1.0";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"1.0";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6685049833887042";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.731937984496124";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.7148669796557121";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8738886827458254";"1.0";"Full";"20.0";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.2033468104222821";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.27044025157232704";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.2380503144654088";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.576432022084196";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.1622223900130877";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.24341085271317828";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2027125717266562";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.5392672572905128";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.2033468104222821";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.27044025157232704";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.2380503144654088";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.576432022084196";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.1622223900130877";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.24341085271317828";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2027125717266562";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.5392672572905128";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.2033468104222821";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.27044025157232704";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.2380503144654088";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.576432022084196";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.1622223900130877";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.24341085271317828";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2027125717266562";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.5392672572905128";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.5887241689128482";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.6540880503144654";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.6179245283018869";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.8367063492063492";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.4359745293466225";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.5131782945736436";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.4769953051643192";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.7581665516448127";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.5962713387241689";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.6540880503144654";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.6254716981132077";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.8429563492063492";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.32966425047820413";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.40465116279069774";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.36546687532603034";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.7109092174881649";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.48683737646001796";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.5345911949685536";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.5059748427672957";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.8833845366103431";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.2868735528037855";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.36434108527131787";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.32477829942618675";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6701572604350382";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.44910152740341414";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.4968553459119498";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.4682389937106919";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.8753420908593322";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.2868735528037855";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
