"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Kernel";"C";"Gamma"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.9882738863656814";"1.0";"Full";"PolyKernel";"9.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.981824733600274";"1.0";"Full";"PolyKernel";"9.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9965885866532099";"1.0";"Full";"PolyKernel";"9.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.7462514771114297";"1.0";"Full";"PolyKernel";"9.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.8323203344309237";"1.0";"Full";"PolyKernel";"9.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.7983828778094494";"1.0";"Full";"PolyKernel";"9.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.9249498101402583";"1.0";"Full";"PolyKernel";"9.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.9769608868079175";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.9882738863656814";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.981824733600274";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9965885866532099";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.7462514771114297";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.8323203344309237";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.7983828778094494";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.9249498101402583";"1.0";"Full";"PolyKernel";"11.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.1683748231065624";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.20542615037980308";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.20695394528511826";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.6205861504346586";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.16834048920114494";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.20540983606557375";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.20713329879275721";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.6184854972026026";"1.0";"Full";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.36333358951822914";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.408458437634284";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.41179675335768257";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.7831160054611297";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.3389134465261514";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.38417122040072865";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.38712079346949435";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.7600980653153785";"1.0";"Full";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.6255243796265528";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.6973998654034603";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.6822533248030898";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.8734636384730197";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.5652191321883945";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.640195810564663";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.6252454398957701";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.8452650872734981";"1.0";"Full";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.8023832071425983";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.8523859580343492";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.8474859490254187";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9372757224414787";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.684096278777645";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.7507869342165077";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.7345406094940479";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.9017222991513911";"1.0";"Full";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.8128871234841444";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.858239820462966";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.8449859365712701";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9516067836947115";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.5610860642620576";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.6175574712643679";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.6068650947479016";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.8662392371726442";"1.0";"Full";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.5237014217012848";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.5651269651752824";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.5721197416118169";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.8194405401613276";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.3143958495966693";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.350290667160631";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.35752951160160956";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.7747431716705282";"1.0";"Full";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.4959792206497856";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.5427465779447352";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.550102828585009";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.7882399493958829";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.30767362737444703";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.34250347318699637";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.3495369422297299";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.7773836221649741";"1.0";"Full";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.3673398844399056";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.41325866863104854";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.4163459911102939";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.7872339664037054";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.34421405802758265";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.3891621129326047";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.39169202358821387";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.7692344513512743";"1.0";"Full";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.6529777332695428";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.726253998676771";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.7093016515123269";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.8843128238840086";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.5938921090294041";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.6681329690346083";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.6507804193114184";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.8577533369288217";"1.0";"Full";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.8338266723934783";"1.0";"Full";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.8800883177084036";"1.0";"Full";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.8766074791541971";"1.0";"Full";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9447292645602301";"1.0";"Full";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.7263968751878771";"1.0";"Full";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.7866032808008723";"1.0";"Full";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.7734747918748297";"1.0";"Full";"RBFKernel";"1.0";"-5.0"
