"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Increment";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9992143658810326";"1.0";"Full";"20";"10";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.5732759323313";"1.0";"Full";"20";"10";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.6557907477530581";"1.0";"Full";"20";"10";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.6279501806773045";"1.0";"Full";"20";"10";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.8982389419275888";"1.0";"Full";"20";"10";"PolyKernel";"7.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9915037540285476";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9938525574505123";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9971744228288699";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9992143658810326";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.5730282849811267";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.6551385586564815";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.6276976554247793";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.8982730059588976";"1.0";"Full";"20";"10";"PolyKernel";"9.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9915037540285476";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9938525574505123";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9971744228288699";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9992143658810326";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.5732759323313";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.6557907477530581";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.6279501806773045";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.8982389419275888";"1.0";"Full";"20";"10";"PolyKernel";"11.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.16317687074829926";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.19619047619047614";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.20017964071358774";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.6363596623229151";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.15521555389976469";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.19050629576945358";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.19415745828470313";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.6186167879422322";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.16317687074829926";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.19619047619047614";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.20017964071358774";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.6363596623229151";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.15521555389976469";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.19050629576945358";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.19415745828470313";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.6186167879422322";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.34691410705696424";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.38857142857142857";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.3918028570622186";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.8272495942340048";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.2706609035556402";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.30886149307201943";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.30901032184523036";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.7778661796093186";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.6533333333333333";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.7042328042328044";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.7118654388970164";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9050947678290758";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.4191741981215664";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.46943785891154316";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.46687475771412346";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.8400890678195406";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.6104736039566759";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.6500169242466594";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.6637130260758313";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9039625785784877";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.27070891368511296";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.30316294637932073";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.3071064455138215";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.7719157740273351";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.31205077355283795";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.34469095024008317";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.35469022806788403";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.7926385747416924";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.1977377753693544";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.23060607466065555";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.23658733340653454";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.688853694569638";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.29246199520270544";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.325623757531272";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.3355219049437375";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.7623978260305854";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.1927162124530547";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.2257064381820717";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.2314768519952811";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.6817420642401236";"1.0";"Full";"20";"10";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.1768155706727135";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.21460317460317457";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.2153595564016335";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.6403928524788876";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.16234749787381386";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.20151730678046464";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.20091960814856502";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.6235877565341368";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.3935754827183399";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.4431746031746032";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.443602456431137";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.8214402417631054";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.2894241644241642";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.3345977556503872";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.3312671679179248";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.7640188773924066";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.7995803529736184";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.8386784189215577";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.8481363442151584";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9492644698386488";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.5290988271073063";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.5804603569751042";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.5783464661221008";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.8859163275225197";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9758223239928147";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9801078280210551";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9879584899003387";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9961139000682873";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
